Year,Month,Origin,"state","city",ArrdelayCount,MeanArrDelay,AirCount
1992,11,MKE,"WI","Milwaukee",777,12.276705,1748
1992,11,MLU,"LA","Monroe",127,17.543307,203
1992,11,ORF,"VA","Norfolk",790,13.140506,1481
1992,11,PBI,"FL","West Palm Beach",911,12.363336,2009
1992,11,ROA,"VA","Roanoke",109,15.614678,206
1992,11,SBA,"CA","Santa Barbara",110,20.554545,245
1992,11,SLC,"UT","Salt Lake City",2861,17.836770,5293
1992,11,SMF,"CA","Sacramento",888,12.736486,2391
1992,11,SUX,"IA","Sioux City",33,12.878787,77
1992,11,TRI,"TN","Bristol",111,21.126126,195
1992,11,WRG,"AK","Wrangell",13,23.846153,51
1992,12,ALB,"NY","Albany",670,20.486567,1087
1992,12,BNA,"TN","Nashville",2966,16.029332,5184
1992,12,BWI,"MD","Baltimore",2551,19.281066,4045
1992,12,CDV,"AK","Cordova",39,19.794871,58
1992,12,CID,"IA","Cedar Rapids",256,15.191406,420
1992,12,CLE,"OH","Cleveland",2496,19.359775,4830
1992,12,CRP,"TX","Corpus Christi",272,16.985294,597
1992,12,CSG,"GA","Columbus",63,14.714285,81
1992,12,DET,"MI","Detroit",115,13.460869,283
1992,6,CHS,"SC","Charleston",449,14.097995,749
1992,6,CLT,"NC","Charlotte",7251,17.801544,10127
1992,6,DAL,"TX","Dallas",1264,12.384493,3428
1992,6,DCA,"VA","Arlington",3919,20.483796,7199
1992,6,ELM,"NY","Elmira",62,9.838709,112
1992,6,HPN,"NY","White Plains",145,22.213793,356
1992,6,JNU,"AK","Juneau",286,17.632867,486
1992,6,LAS,"NV","Las Vegas",3045,11.609852,7360
1992,6,LAX,"CA","Los Angeles",5971,13.790152,13218
1992,6,LBB,"TX","Lubbock",278,11.424460,720
1992,6,LIT,"AR","Little Rock",617,12.593192,1367
1992,6,MFR,"OR","Medford",65,12.092307,114
1992,6,MOT,"ND","Minot",63,10.952380,148
1992,6,OKC,"OK","Oklahoma City",933,13.872454,2075
1992,6,PIA,"IL","Peoria",42,8.547619,113
1992,6,PIT,"PA","Pittsburgh",7913,15.760141,11485
1992,6,PSG,"AK","Petersburg",24,19.458333,57
1992,6,RNO,"NV","Reno",713,12.051893,1485
1992,6,SAN,"CA","San Diego",2235,12.653691,5117
1993,10,SJU,"PR","San Juan",622,12.725080,1661
1993,10,TPA,"FL","Tampa",1862,15.252416,4888
1993,10,TUS,"AZ","Tucson",492,12.180894,1220
1993,11,ABE,"PA","Allentown",278,13.136690,589
1993,11,AKN,"AK","King Salmon",3,43.000000,10
1993,11,AMA,"TX","Amarillo",147,16.687074,325
1993,11,BET,"AK","Bethel",45,17.511111,58
